57,2455,5
57,1262,5
57,2289,5
57,2294,5
57,1249,5
57,800,5
152,318,3
152,3578,4
166,6016,3
166,4816,3
166,3594,2
166,318,4
166,6936,4
166,8368,4.5
166,919,5
166,8873,3
166,6593,3
166,8874,4
166,7451,5
166,4701,1
166,2321,4
166,6373,2.5
166,2324,4
166,4025,3
166,6535,1
166,4369,1
166,8645,3
166,5066,2
166,8961,5
166,8366,4
166,2291,5
166,4641,3
166,3512,2
166,4232,4
166,4973,5
166,6537,2
166,4368,0.5
166,4248,1
166,4886,5
166,1073,5
166,5618,4
166,4226,3
166,595,5
166,588,5
166,5481,1.5
166,4235,3
166,608,4
166,5816,4
166,4639,2
166,527,3
166,8970,2
166,5971,3.5
166,5620,2
273,260,4.5
273,527,4.5
273,899,4.5
273,1608,5
273,2028,5
273,4896,4
273,3578,5
273,110,5
273,1580,5
273,8665,5
273,648,4.5
273,318,5
273,364,4.5
273,1682,4.5
273,1732,4
273,8368,4
273,780,4
273,2268,4.5
273,3114,4.5
273,8961,4
273,4886,4.5
273,858,4
302,597,5
302,260,5
302,2085,4
302,919,5
302,480,4
302,2501,4
302,3062,4
302,2028,5
390,2097,4
390,4148,3
390,7454,2
390,2085,3
390,2687,4
390,1673,4
390,234,1
390,2605,3
390,5971,4
390,1721,3
390,1639,4
390,8043,2
390,592,4
390,3087,4
390,8291,3
390,2064,4
390,1371,2
390,4290,3
390,1580,4.5
390,2094,2
390,4993,2
390,2084,1
390,2114,4
390,1375,4
390,3763,3
390,5995,5
390,4886,5
390,451,2
390,2139,4
390,405,2
390,674,4
390,551,4
390,457,4
390,7304,2
390,4990,3
390,110,5
390,4599,2
390,1991,3
390,1586,2
390,1968,5
390,9005,3.5
390,70,3
390,2001,3
390,173,1
390,3396,4
390,296,5
390,466,3
390,2294,2
390,1379,4
390,1405,3
390,435,2
390,3159,5
390,4105,4
390,253,4
390,2022,3
390,1863,3
390,2355,3
390,5820,4
390,248,2
390,1282,5
390,2269,2
390,2078,4
390,1127,4
390,1591,1
390,2291,3
390,8368,4
390,1381,1
390,1961,3
390,1997,5
390,1213,4
390,2017,3
390,280,4
390,4519,3
390,2042,3
390,5816,4
390,587,4
390,1690,3
390,5686,3.5
390,2761,4
390,2014,3
390,1967,4.5
390,953,4.5
390,3478,3
390,1023,4
390,2124,4
390,2043,3
390,1387,3
390,2699,4
390,1544,2
390,3063,2
390,318,5
390,3962,3
390,410,3
390,193,0.5
390,4474,3
390,593,4
390,3060,3
390,586,4
390,1956,3
390,2000,3
390,616,3
390,2142,3
390,508,4
390,2087,3
390,1969,4
390,2048,3
390,4973,4
390,3054,3
390,5481,2.5
390,505,1
