rating_id,user_id,store_id,star_rating
1,57,4658,5
2,57,445,3
3,57,6337,3
4,57,17153,5
5,57,12832,5
6,57,18243,5
7,57,14530,3
8,57,12550,1
9,57,2198,4
10,57,10421,4
11,57,17683,4
12,57,7099,4
13,57,9226,4
14,57,9568,3
15,57,15973,2
16,57,2273,4
17,57,11359,4
18,57,9533,5
19,57,2635,1
20,57,3691,3
21,57,2203,4
22,57,13626,4
23,57,14054,4
24,57,8980,4
25,57,15862,4
26,57,15741,1
27,57,14452,3
28,57,17274,2
29,57,12042,4
30,57,6343,5
31,57,8815,4
32,57,10415,5
33,57,18627,3
34,57,10353,3
35,57,11437,1
36,57,734,3
37,57,10524,3
38,57,2031,4
39,57,3793,5
40,57,1001,3
41,152,15600,4
42,152,1274,3
43,152,6085,4
44,152,12621,3
45,152,11677,3
46,152,774,5
47,152,16186,5
48,152,17470,3
49,152,2597,3
50,152,16911,2
51,152,14283,4
52,152,5621,2
53,152,13721,3
54,152,13047,5
55,152,15805,4
56,152,18071,1
57,152,12413,2
58,152,12021,3
59,152,7649,2
60,152,5913,2
61,152,7409,5
62,152,16970,2
63,152,5914,3
64,152,7809,3
65,152,4502,3
66,152,15059,4
67,152,8504,3
68,152,12046,3
69,152,16827,5
70,152,4358,5
71,152,1618,4
72,166,10715,3
73,166,11528,3
74,166,16549,4
75,166,19136,4
76,166,285,2
77,166,17520,3
78,166,7313,4
79,166,2292,4
80,166,9953,4
81,166,4414,5
82,166,6268,4
83,166,13243,3
84,166,17098,1
85,166,9991,4
86,166,15513,4
87,166,15509,5
88,166,14001,2
89,166,14760,4
90,166,5928,5
91,166,16357,5
92,166,17910,3
93,166,2634,3
94,166,7095,3
95,166,3683,3
96,166,6197,2
97,166,10974,4
98,166,8663,5
99,166,6422,3
100,166,7353,5
101,166,12731,2
102,166,1159,5
103,166,6972,3
104,166,8518,5
105,166,16004,4
106,166,3732,4
107,166,8247,3
108,166,1977,3
109,166,3480,5
110,166,13235,4
111,166,14581,5
112,166,2314,4
113,273,5360,3
114,273,11558,3
115,273,4324,3
116,273,3799,1
117,273,11501,2
118,273,8707,2
119,273,4293,5
120,273,14779,4
121,273,3956,3
122,273,4114,3
123,273,15766,3
124,273,5909,5
125,273,10606,3
126,273,4464,4
127,273,9750,2
128,273,17588,3
129,273,5366,2
130,273,5939,5
131,273,19152,3
132,273,16043,3
133,273,11868,5
134,273,1938,3
135,273,13022,4
136,273,4814,4
137,273,12516,5
138,302,9059,3
139,302,7711,5
140,302,12790,4
141,302,2157,3
142,302,2922,2
143,302,3884,5
144,302,4223,3
145,302,1398,3
146,302,15375,3
147,302,16691,2
148,302,6896,2
149,302,5371,2
150,302,15035,3
151,302,6673,3
152,302,15069,2
153,302,10873,1
154,302,14578,4
155,302,14487,3
156,302,13408,2
157,302,11824,4
158,302,7880,5
159,302,15372,1
160,302,16640,4
161,302,8813,1
162,302,8364,4
163,302,4562,3
164,302,10078,4
165,302,18190,2
166,327,2712,5
167,327,1158,3
168,327,13934,4
169,327,16801,3
170,327,14621,5
171,327,16612,2
172,327,12176,5
173,327,3601,2
174,327,539,4
175,327,18685,3
176,327,5843,1
177,327,1821,3
178,327,4067,4
179,327,8374,4
180,327,6346,4
181,327,17135,5
182,327,16097,4
183,327,2909,4
184,327,7009,2
185,327,11480,3
186,327,14711,3
187,327,11862,3
188,327,3866,5
189,327,3339,3
190,327,14919,4
191,327,7617,4
192,390,9829,4
193,390,11674,3
194,390,9431,5
195,390,18982,3
196,390,17294,4
197,390,17174,4
198,390,4456,2
199,390,1616,3
200,390,13744,4
201,390,11145,4
202,390,11648,4
203,390,353,3
204,390,15499,3
205,390,15359,3
206,390,388,3
207,390,9450,5
208,390,17518,4
209,390,13498,3
210,390,6662,5
211,390,14993,3
212,390,17428,4
213,390,17215,3
214,390,11086,5
215,390,17379,2
216,390,11098,2
217,390,12905,3
218,390,15371,4
219,390,6977,3
220,390,4708,5
221,390,13675,4
222,390,2617,4
223,409,11390,4
224,409,5668,3
225,409,12368,2
226,409,13388,1
227,409,10708,4
228,409,19025,5
229,409,6402,4
230,409,5421,4
231,409,2626,4
232,409,2793,3
233,409,15846,2
234,409,8495,4
235,409,6414,4
236,409,6497,5
237,409,13900,3
238,409,6993,5
239,409,7580,3
240,409,6161,2
241,409,7304,4
242,409,17714,5
243,409,8245,4
244,409,3204,4
245,409,16303,4
246,409,18702,4
247,409,34,3
248,409,661,3
249,409,4245,2
250,409,6655,2
251,409,7285,4
252,409,4891,5
253,426,4264,5
254,426,10232,4
255,426,1652,4
256,426,10481,5
257,426,15364,3
258,426,7148,3
259,426,13614,5
260,426,412,3
261,426,284,3
262,426,8386,3
263,426,1467,4
264,426,5974,5
265,426,8553,4
266,426,16004,3
267,426,6985,2
268,426,5557,5
269,426,3193,5
270,426,2226,4
271,426,16636,3
272,426,526,3
273,426,18710,5
274,426,6922,4
275,426,16054,4
276,426,6002,4
277,426,5163,4
278,426,4178,3
279,426,18472,2
280,426,11046,2
281,426,18653,5
282,426,11945,4
283,426,5088,2
284,449,8465,3
285,449,2933,5
286,449,5249,4
287,449,695,5
288,449,15673,3
289,449,3143,3
290,449,1552,4
291,449,16823,4
292,449,17357,4
293,449,11826,3
294,449,14280,3
295,449,5215,4
296,449,9730,3
297,449,8714,5
298,449,3187,3
299,449,3585,3
300,449,1873,3
301,449,5720,5
302,449,5622,3
303,449,7346,5
304,449,1139,3
305,449,6067,5
306,449,4500,2
307,449,12729,5
308,449,6087,2
309,449,796,2
310,449,4942,4
311,449,17362,3
312,449,7644,4
313,449,3933,3
314,449,9316,2
315,457,16815,1
316,457,15317,3
317,457,13323,4
318,457,10615,3
319,457,2497,4
320,457,16280,4
321,457,17248,3
322,457,10349,3
323,457,3376,4
324,457,11169,3
325,457,2399,4
326,457,758,4
327,457,16744,4
328,457,17642,3
329,457,13982,5
330,457,18260,5
331,457,15657,5
332,457,12421,4
333,457,6437,4
334,457,12516,4
335,457,1138,4
336,457,1762,5
337,457,2715,3
338,457,18286,2
339,457,5010,4
340,457,16202,5
341,457,14802,3
342,457,5669,2
343,475,11894,3
344,475,15649,2
345,475,8179,4
346,475,12187,4
347,475,10643,5
348,475,6841,3
349,475,13627,3
350,475,2909,5
351,475,16231,3
352,475,53,2
353,475,12830,4
354,475,15390,3
355,475,4802,3
356,475,10920,3
357,475,5356,2
358,475,6022,5
359,475,14981,3
360,475,5891,1
361,475,10091,2
362,475,8049,5
363,475,7149,4
364,475,15766,4
365,475,481,4
366,475,778,3
367,475,8832,2
368,475,7831,5
369,475,4899,4
370,475,1976,2
371,475,839,4
